,phi,kabs,coord,psd,euler
phi,0.9999999999999954,0.7770860078190639,0.8102289953159532,0.660344900224587,-0.5631018497052741
kabs,0.7770860078190639,0.9999999999999976,0.6702130054436907,0.5583542489444421,-0.42878618918793926
coord,0.8102289953159532,0.6702130054436907,0.999999999999999,0.6840765584171258,-0.7151538313349113
psd,0.660344900224587,0.5583542489444421,0.6840765584171258,0.9999999999999958,-0.34061690652253884
euler,-0.5631018497052741,-0.42878618918793926,-0.7151538313349113,-0.34061690652253884,0.9999999999999503
